Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,arm,phase,entry
T7,128,68,60,0,53.12,0.0013087276539770923,0.00013369515397709065,1.0444933904460207e-06,0.0010666871499598806,1.924599491142783e-05,-1.958387500000003e-05,1.113779962662386,-0.030841074284770863,0.007967245153977091,1.7066994399357993,3.576006944444445,1.1444444444444444,37.3125,68,60,0,53.12,46.88,,0,0,8.580398781105401,0.8580398781105402,T7,select,E2
T10,128,75,53,0,58.59,0.0010777689617869066,3.9823586786905254e-05,3.111217717726973e-07,0.00031773259558968764,1.437025282382542e-05,-1.9583875000000026e-05,1.038367709656113,-0.03140590530270227,0.007873373586786905,0.5083721529435037,2.7982074652777778,0.8172222222222222,37.3125,75,53,0,58.59,41.41,,0,0,2.803456620777963,0.2803456620777963,T10,select,E2
T3,128,67,61,0,52.34,0.00048218053488454423,3.4199394259546074e-05,2.671827676527037e-07,0.00027285996019961017,7.196724401261854e-06,-7.34395312499997e-06,1.076341147334535,-0.018612915876964346,0.007867749394259545,0.4365759363193611,0.24760850694444442,0.1211111111111111,3.551944444444445,67,61,0,52.34,47.66,,0,0,2.550540913658475,0.2550540913658475,T3,select,E2
T1,128,67,61,0,52.34,0.0004607448916631059,1.2763751038107735e-05,9.971680498521668e-08,0.00010183562240386786,6.876789427807551e-06,-7.34395312499997e-06,1.028491715120642,-0.01593683024107827,0.007846313751038107,0.1629369958461746,0.20836805555555554,0.1034722222222222,2.286666666666666,67,61,0,52.34,47.66,,0,0,1.1288942856683768,0.11288942856683767,T1,select,E2
T9,128,65,63,0,50.78,0.0009333380463497321,7.999952599730586e-06,6.24996296853952e-08,6.38276435949445e-05,1.4359046866918957e-05,-1.4687906250000025e-05,1.008645437439315,-0.02403267936790344,0.00784154995259973,0.10212422975188762,1.9557790798611112,0.5195833333333333,36.35361111111112,65,63,0,50.78,49.22,,0,0,0.5450168291659967,0.05450168291659967,T9,select,E2
T6,128,65,63,0,50.78,0.0009297014364614894,4.363342711487836e-06,3.408861493349872e-08,3.481294170178291e-05,1.4303099022484452e-05,-1.4687906250000025e-05,1.0047154037437334,-0.025910804680284696,0.007837913342711488,0.05570070672284988,1.9781749131944446,0.5458333333333334,36.35361111111112,65,63,0,50.78,49.22,,0,0,0.32218819265223075,0.032218819265223075,T6,select,E2
T8,128,66,62,0,51.56,0.0004468496926746731,-1.13857339852422e-06,-8.89510467597047e-09,-9.084110959612615e-06,6.770449889010198e-06,-7.225617194728989e-06,0.9974584749540333,-0.021595562272406534,0.007832411426601476,-0.014534577535396664,0.3021006944444444,0.15402777777777776,5.822222222222222,67,61,0,52.34,47.66,,0,0,0.3768005422816998,0.03768005422816998,T8,select,E2
T5,128,77,51,0,60.16,0.0007283689277366734,-2.0714291013328065e-05,-1.618303985416255e-07,-0.00016526902723964306,9.459336723852901e-06,-1.4687906250000028e-05,0.9723471431546764,-0.021320176974252276,0.007812835708986672,-0.2644304435834077,1.2189474826388889,0.4073611111111111,15.823055555555555,77,51,0,60.16,39.84,,0,0,-1.3681113982398756,-0.13681113982398757,T5,select,E2
T4,128,62,66,0,48.44,0.0005824397851454085,-6.382808985459212e-05,-4.98656951989001e-07,-0.0005092525886618562,9.394190082990459e-06,-9.79193750000001e-06,0.9012358615928541,-0.024823575041037726,0.007769721910145408,-0.8148041418589491,0.6861914062499999,0.2031944444444444,12.665,62,66,0,48.44,51.56,,0,0,-3.6910803235247407,-0.3691080323524741,T4,select,E2
T2,128,62,66,0,48.44,0.0005666901875662181,-7.957768743378248e-05,-6.217006830764256e-07,-0.000634910795822001,9.140164315584163e-06,-9.79193750000001e-06,0.8768657850527037,-0.023950317703954692,0.007753972312566217,-1.0158572733152016,0.6628233506944445,0.1925,12.6275,62,66,0,48.44,51.56,,0,0,-4.659033878831817,-0.4659033878831817,T2,select,E2
