Strategy,Trades,Wins,Losses,Flat,Win %,Gross BTC,Net BTC,Avg Trade BTC,Expectancy,Avg Win,Avg Loss,Profit Factor,Max DD,Final Equity,Return %,Avg Hold,Median Hold,Longest Hold,Trail exits,SL exits,Same-candle SL,Trail %,SL %,Fallback %,Fallback Count,Strategy Switch Count,net_usd,net_return_pct_capital,arm,phase,kind,n_switches,top_selected_T,top_selected_T_share
T7,330,179,151,0,54.24,0.00359922521935242,0.000642060094352416,1.9456366495527757e-06,0.0019869782150394475,2.0107403460069386e-05,-1.9583875000000026e-05,1.2171201360804684,-0.030841074284770863,0.008475610094352416,8.196285137037695,2.4391186868686865,0.915,37.3125,179,151,0,54.24,45.76,,0,0,49.65508064501549,4.965508064501549,T7,full,fixed,,,
T7,128,68,60,0,53.12,0.0013087276539770923,0.00013369515397709065,1.0444933904460207e-06,0.0010666871499598806,1.924599491142783e-05,-1.958387500000003e-05,1.113779962662386,-0.030841074284770863,0.007967245153977091,1.7066994399357993,3.576006944444445,1.1444444444444444,37.3125,68,60,0,53.12,46.88,,0,0,8.580398781105401,0.8580398781105402,T7,select,fixed,,,
T7,202,111,91,0,54.95,0.002290497565375329,0.0005083649403753255,2.5166581206699286e-06,0.0025701329493472923,2.063511320157954e-05,-1.9583875000000023e-05,1.2852565141583254,-0.02759219198044917,0.008341914940375325,6.489585697101896,1.7187142464246425,0.7779166666666666,24.560277777777777,111,91,0,54.95,45.05,,0,0,41.07468186391009,4.107468186391008,T7,holdout,fixed,,,
A,330,181,149,0,54.85,0.002776199343043387,0.0003600387649183853,1.0910265603587432e-06,0.0011142090728813842,1.533811791736678e-05,-1.621584280620807e-05,1.1490127635464458,-0.04386509749051753,0.008193588764918385,4.596112425635712,1.6859242424242424,0.5175000000000001,37.3125,181,149,0,54.85,45.15,,0,0,30.633401344809172,3.0633401344809172,A,full,selector,21.0,T7,0.5666666666666667
A,128,66,62,0,51.56,0.000968222972720856,-6.482643352914491e-05,-5.064565119464446e-07,-0.0005172178763870158,1.4670045041225092e-05,-1.666208719758066e-05,0.9372474993577832,-0.0427409657357422,0.0077687235664708545,-0.8275486022192413,2.55998046875,0.7475,37.3125,66,62,0,51.56,48.44,,0,0,-3.751344759204523,-0.3751344759204523,A,select,selector,15.0,T7,0.5078125
A,202,115,87,0,56.93,0.0018079763703225313,0.0004248651984475302,2.1032930616214367e-06,0.0021479845654871032,1.5721533654978532e-05,-1.5897829561781624e-05,1.3071808015776243,-0.017214172821076186,0.00825841519844753,5.423661027854942,1.1320668316831684,0.4280555555555555,14.52777777777778,115,87,0,56.93,43.07,,0,0,34.3847461040137,3.43847461040137,A,holdout,selector,6.0,T7,0.6039603960396039
B,330,189,141,0,57.27,0.003086246857216885,0.0007165979822168834,2.1715090370208586e-06,0.002217650017701664,1.632934845088299e-05,-1.6806020390070937e-05,1.3024068205956811,-0.030414921238299468,0.008550147982216883,9.14780632301937,1.7434141414141413,0.5573611111111111,37.3125,189,141,0,57.27,42.73,,0,0,56.86579973036341,5.686579973036341,B,full,selector,50.0,T7,0.6090909090909091
B,128,68,60,0,53.12,0.0010125163995625074,4.3114587062506674e-05,3.368327114258334e-07,0.0003439898502475508,1.4889947052389814e-05,-1.6156696875000013e-05,1.0444754553855413,-0.030310764853830326,0.007876664587062506,0.5503837603960671,2.6451627604166665,0.7145833333333333,37.3125,68,60,0,53.12,46.88,,0,0,2.756749355205109,0.27567493552051087,B,select,selector,33.0,T7,0.578125
B,202,121,81,0,59.9,0.0020737304576543777,0.0006734833951543768,3.334076213635529e-06,0.003404919826781498,1.71382682450775e-05,-1.7287000771604954e-05,1.4809746888180857,-0.015419318752986692,0.008507033395154377,8.597422562623303,1.1720090759075907,0.5202777777777778,14.52777777777778,121,81,0,59.9,40.1,,0,0,54.109050375158304,5.41090503751583,B,holdout,selector,17.0,T7,0.6287128712871287
C,330,186,144,0,56.36,0.0025187346179497264,0.00042081200857472547,1.2751879047718955e-06,0.0013022835417116348,1.3541583967471648e-05,-1.4568907009548617e-05,1.2005850962729703,-0.032837358707776286,0.008254362008574725,5.371919609560494,1.4905092592592593,0.41541666666666666,36.35361111111112,186,144,0,56.36,43.64,,0,0,32.918610385211295,3.2918610385211298,C,full,selector,78.0,T7,0.38181818181818183
