arm,fraction,max_open,trades_signal,trades_executed,skipped_max_open,exposure_limited,fully_available,final_equity_usd,net_pnl_usd,return_pct,max_dd,max_dd_pct,max_simultaneous,max_exposure,win_rate_pct,profit_factor,avg_pnl_usd,sum_win_usd,sum_loss_usd,phase,sweep,candidate
A5_M8,0.05,8,128,128,0,0,128,1006.8267977597432,6.826797759743158,0.6826797759743153,-0.01259390977673987,-1.259390977673987,4,0.19892528307807447,53.125,1.1137799626623874,0.05333435749799403,66.8267977597431,-59.999999999999865,select,alloc_at_M8,E2+T7
A5_M8,0.05,8,202,202,0,0,202,1025.9583427884074,25.958342788407435,2.5958342788407363,-0.011235161722435877,-1.1235161722435878,8,0.39664027736295177,54.95049504950495,1.2852565141583265,0.12850664746736468,116.95834278840745,-90.99999999999979,holdout,alloc_at_M8,E2+T7
A5_M8,0.05,8,330,330,0,0,330,1032.7851405481501,32.78514054815014,3.278514054815007,-0.01259390977673987,-1.259390977673987,8,0.39397329194939096,54.24242424242424,1.21712013608047,0.0993489107519724,183.78514054815054,-150.99999999999966,full,alloc_at_M8,E2+T7
A7.5_M8,0.075,8,128,128,0,0,128,1010.2401966396147,10.240196639614737,1.024019663961484,-0.018760345676617926,-1.8760345676617927,4,0.2975883664840403,53.125,1.1137799626623872,0.08000153624699105,100.24019663961465,-89.99999999999982,select,alloc_at_M8,E2+T7
A7.5_M8,0.075,8,202,202,0,0,202,1038.937514182611,38.93751418261104,3.8937514182610933,-0.016752419746447828,-1.6752419746447829,8,0.5924722380568996,54.95049504950495,1.2852565141583265,0.19275997120104693,175.43751418261118,-136.4999999999997,holdout,alloc_at_M8,E2+T7
A7.5_M8,0.075,8,330,330,0,0,330,1049.177710822226,49.17771082222589,4.9177710822225995,-0.018760345676617926,-1.8760345676617927,8,0.5865412964821817,54.24242424242424,1.2171201360804698,0.14902336612795863,275.6777108222258,-226.4999999999995,full,alloc_at_M8,E2+T7
A10_M8,0.1,8,128,128,0,0,128,1013.6535955194868,13.653595519486771,1.365359551948675,-0.024842157135824893,-2.4842157135824894,4,0.39572410917343603,53.125,1.1137799626623874,0.10666871499598805,133.6535955194862,-119.99999999999973,select,alloc_at_M8,E2+T7
A10_M8,0.1,8,202,202,0,0,202,1051.916685576816,51.91668557681601,5.191668557681606,-0.022204379021847055,-2.2204379021847056,8,0.7866730466191977,54.95049504950495,1.2852565141583265,0.25701329493472935,233.9166855768149,-181.99999999999957,holdout,alloc_at_M8,E2+T7
A10_M8,0.1,8,330,330,0,0,330,1065.5702810963019,65.57028109630187,6.557028109630192,-0.024842157135824893,-2.4842157135824894,8,0.7762509886916779,54.24242424242424,1.21712013608047,0.1986978215039448,367.5702810963011,-301.9999999999993,full,alloc_at_M8,E2+T7
A12.5_M8,0.125,8,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,alloc_at_M8,E2+T7
A12.5_M8,0.125,8,202,202,0,0,202,1064.895856971019,64.89585697101893,6.489585697101896,-0.027592191980449137,-2.7592191980449137,8,0.9792629981726869,54.95049504950495,1.2852565141583268,0.3212666186684117,292.39585697101865,-227.49999999999946,holdout,alloc_at_M8,E2+T7
A12.5_M8,0.125,8,330,330,0,0,330,1081.9628513703763,81.96285137037626,8.196285137037629,-0.030841074284770603,-3.0841074284770604,8,0.9631655392137933,54.24242424242424,1.2171201360804698,0.24837227687993108,459.46285137037637,-377.4999999999992,full,alloc_at_M8,E2+T7
A15_M8,0.15,8,128,128,0,0,128,1020.4803932792283,20.480393279228338,2.048039327922835,-0.03675878041019292,-3.675878041019292,4,0.5904303938790143,53.125,1.1137799626623872,0.1600030724939821,200.4803932792293,-179.99999999999963,select,alloc_at_M8,E2+T7
A15_M8,0.15,8,202,201,1,4,198,1079.8672778273653,79.86727782736534,7.986727782736525,-0.03005147811082456,-3.005147811082456,7,1.0,55.223880597014926,1.2958199020006582,0.3973496409321678,349.8534325357397,-269.986154708374,holdout,alloc_at_M8,E2+T7
A15_M8,0.15,8,330,329,1,4,326,1101.103798308025,101.10379830802503,10.110379830802497,-0.03675878041019292,-3.675878041019292,7,1.0,54.40729483282675,1.2246820202135995,0.30730637783594805,551.0899530164004,-449.98615470837365,full,alloc_at_M8,E2+T7
A17.5_M8,0.175,8,128,128,0,0,128,1023.8937921591001,23.893792159100144,2.3893792159100036,-0.04259691352987219,-4.259691352987219,4,0.6870092351416874,53.125,1.1137799626623877,0.18667025124297912,233.89379215910085,-209.99999999999952,select,alloc_at_M8,E2+T7
A17.5_M8,0.175,8,202,199,3,7,195,1088.2501776264628,88.2501776264628,8.825017762646281,-0.034153623438631514,-3.4153623438631513,6,1.0,54.77386934673367,1.2810100896111578,0.443468229278709,402.2964730764862,-314.0462954500231,holdout,alloc_at_M8,E2+T7
A17.5_M8,0.175,8,330,328,2,5,325,1111.7871486608763,111.78714866087626,11.178714866087635,-0.04259691352987219,-4.259691352987219,7,1.0,54.26829268292683,1.212934453632546,0.34081447762462597,636.7709958206465,-524.9838471597691,full,alloc_at_M8,E2+T7
A20_M8,0.2,8,128,128,0,0,128,1027.3071910389724,27.307191038972405,2.730719103897239,-0.048357067904256736,-4.835706790425673,4,0.7830773353599824,53.125,1.1137799626623874,0.2133374299919761,267.3071910389724,-239.99999999999946,select,alloc_at_M8,E2+T7
A20_M8,0.2,8,202,199,3,7,195,1103.1815652401374,103.18156524013739,10.318156524013734,-0.033385082809415066,-3.3385082809415065,6,1.0,54.77386934673367,1.2922034578873824,0.5185003278398873,456.29704849326436,-353.1154832531267,holdout,alloc_at_M8,E2+T7
A20_M8,0.2,8,330,327,3,7,323,1130.0444809604744,130.0444809604744,13.004448096047438,-0.048357067904256736,-4.835706790425673,6,1.0,54.12844036697248,1.2188478994460492,0.3976895442216352,724.2675979729984,-594.2231170125236,full,alloc_at_M8,E2+T7
A25_M8,0.25,8,128,128,0,0,128,1034.1339887987158,34.13398879871579,3.4133988798715764,-0.059649607323573134,-5.964960732357313,4,0.9736974332239483,53.125,1.113779962662387,0.2666717874899701,334.13398879871545,-299.99999999999943,select,alloc_at_M8,E2+T7
A25_M8,0.25,8,202,196,6,10,192,1130.934546282256,130.93454628225595,13.093454628225597,-0.03973862433560997,-3.973862433560997,5,1.0,55.10204081632653,1.3036397247108926,0.6680333993992653,562.1513325803069,-431.2167862980509,holdout,alloc_at_M8,E2+T7
A25_M8,0.25,8,330,324,6,10,320,1164.8804917966377,164.88049179663767,16.488049179663776,-0.059649607323573134,-5.964960732357313,5,1.0,54.32098765432099,1.225065387210255,0.5088904067797466,897.4697799158597,-732.5892881192219,full,alloc_at_M8,E2+T7
A12.5_M4,0.125,4,128,128,0,0,128,1017.0669943993584,17.06699439935835,1.7066994399358437,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,53.125,1.113779962662387,0.13333589374498506,167.06699439935772,-149.99999999999972,select,maxopen_at_A12_5,E2+T7
A12.5_M4,0.125,4,202,192,10,0,192,1065.38690928338,65.38690928337996,6.538690928337987,-0.02042884286108448,-2.042884286108448,4,0.4996765088449547,55.208333333333336,1.304125159457583,0.34055681918427166,280.3869092833797,-214.99999999999952,holdout,maxopen_at_A12_5,E2+T7
A12.5_M4,0.125,4,330,320,10,0,320,1082.4539036827375,82.45390368273752,8.245390368273743,-0.030841074284770603,-3.0841074284770604,4,0.4933367277239937,54.375,1.225901105980105,0.25766844900855707,447.4539036827374,-364.9999999999992,full,maxopen_at_A12_5,E2+T7
